Domínios de Conhecimento,Estilo de Comunicação,Filosofia/Motivação,Habilidades Técnicas Específicas,Projetos/Ideias Mencionadas,Vulnerabilidades/Traumas,Nível de Confiança/Autoimagem,Relacionamento com a IA (eu),Humor,Reatividade,Uso de Metáforas,Interesses Extrapolados,Persistência/Obsessão,Foco Principal,Risco Percebido,Mídia Preferida,Visão de Mundo,Ambiente Social,Economia/Valores,Referência Cultural,Coluna 1,Coluna 2
Engenharia de Software para Varejo,Comercial,Experiência do cliente,E-commerce,Sistemas de recomendação,Vendas baixas,Engenheiro de varejo,Programador,Humor de varejo,Engajamento,Compra como experiência,Marketing,Personalização,Eficiência,Frustração,Sites,Comportamentalismo,Varejo,Monetização,Amazon,,
Engenharia de Software para Web,Criativo,Aplicações web,Front-end,Plataformas interativas,Bugs,Desenvolvedor web,Designer,Humor de web,Design responsivo,Internet como tela,Programação,Usabilidade,Velocidade,Lentidão,Sites,Estética,Startups,Experiência,A Rede Social,,
Engenharia de Software para Web,Criativo,Aplicações web,Front-end,Plataformas interativas,Bugs,Desenvolvedor web,Designer,Humor de web,Design responsivo,Internet como tela,Programação,Usabilidade,Velocidade,Lentidão,Sites,Estética,Startups,Experiência,A Rede Social,,
Engenharia de Telecomunicações,Conectado,Infraestrutura de rede,Redes,Internet do futuro,Desconexão,Arquiteto de rede,Técnico,Humor de rede,Conectividade,Informação como fluxo,Comunicação,Velocidade,Segurança,Vulnerabilidade,Mapas de rede,Determinismo,Operadoras,Acesso universal,Matrix,,
Engenharia de Telecomunicações,Conectado,Infraestrutura de rede,Redes,Internet do futuro,Desconexão,Arquiteto de rede,Técnico,Humor de rede,Conectividade,Informação como fluxo,Comunicação,Velocidade,Segurança,Vulnerabilidade,Mapas de rede,Determinismo,Operadoras,Acesso universal,Matrix,,
Engenharia de Testes,Analítico,Qualidade de software,Automação de testes,Testes de regressão,Bugs,Engenheiro de testes,Testador,Humor de teste,Detecção,Código como vulnerabilidade,Desenvolvimento,Confiabilidade,Robustez,Falha,Relatórios de teste,Pragmatismo,Empresas de software,Qualidade,The Matrix,,
Engenharia de Testes,Analítico,Qualidade de software,Automação de testes,Testes de regressão,Bugs,Engenheiro de testes,Testador,Humor de teste,Detecção,Código como vulnerabilidade,Desenvolvimento,Confiabilidade,Robustez,Falha,Relatórios de teste,Pragmatismo,Empresas de software,Qualidade,The Matrix,,
Engenharia de Transporte,Estratégico,Mobilidade,Logística,Sistemas de transporte,Trânsito,Arquiteto de mobilidade,Coordenador,Humor de trânsito,Eficiência,Cidade como fluxo,Planejamento,Conectividade,Acessibilidade,Atraso,Mapas,Racionalidade,Cidades,Infraestrutura,O Quinto Elemento,,
Engenharia de Transporte,Estratégico,Mobilidade,Logística,Sistemas de transporte,Trânsito,Arquiteto de mobilidade,Coordenador,Humor de trânsito,Eficiência,Cidade como fluxo,Planejamento,Conectividade,Acessibilidade,Atraso,Mapas,Racionalidade,Cidades,Infraestrutura,O Quinto Elemento,,
Engenharia de Usabilidade,Empático,Experiência do usuário,Design de Interação,Interfaces intuitivas,Dificuldade,Designer de UX,Pesquisador,Humor de UX,Simplificação,Usuário como centro,Psicologia,Acessibilidade,Satisfação,Frustração,Testes de usabilidade,Humanismo,Empresas de software,Design,O Dilema das Redes,,
Engenharia de Usabilidade,Empático,Experiência do usuário,Design de Interação,Interfaces intuitivas,Dificuldade,Designer de UX,Pesquisador,Humor de UX,Simplificação,Usuário como centro,Psicologia,Acessibilidade,Satisfação,Frustração,Testes de usabilidade,Humanismo,Empresas de software,Design,O Dilema das Redes,,
Engenharia de Usinas,Eficiente,Geração de energia,Termodinâmica,Usinas inteligentes,Apagão,Engenheiro de energia,Operador,Humor de usina,Potência,Energia como poder,Física,Segurança,Controle,Desastre,Relatórios de operação,Responsabilidade,Usinas,Energia,Chernobyl,,
Engenharia de Usinas,Eficiente,Geração de energia,Termodinâmica,Usinas inteligentes,Apagão,Engenheiro de energia,Operador,Humor de usina,Potência,Energia como poder,Física,Segurança,Controle,Desastre,Relatórios de operação,Responsabilidade,Usinas,Energia,Chernobyl,,
Engenharia de Vendas,Persuasivo,Relacionamento com clientes,Negociação,Vendas consultivas,Rejeição,Engenheiro de vendas,Vendedor,Humor de vendas,Fechamento,Produto como solução,Marketing,Crescimento,Conexão,Perda,Relatórios de vendas,Otimismo,Empresas,Lucro,O Lobo de Wall Street,,
Engenharia de Vendas,Persuasivo,Relacionamento com clientes,Negociação,Vendas consultivas,Rejeição,Engenheiro de vendas,Vendedor,Humor de vendas,Fechamento,Produto como solução,Marketing,Crescimento,Conexão,Perda,Relatórios de vendas,Otimismo,Empresas,Lucro,O Lobo de Wall Street,,
Engenharia Espacial,Inovador,Exploração do espaço,Foguetes,Colonização de planetas,Falha de lançamento,Engenheiro espacial,Explorador,Humor espacial,Descoberta,Universo como laboratório,Física,Tecnologia,Fronteira,Perigo,Documentários,Otimismo,Agências espaciais,Investimento,Interestelar,,
Engenharia Espacial,Inovador,Exploração do espaço,Foguetes,Colonização de planetas,Falha de lançamento,Engenheiro espacial,Explorador,Humor espacial,Descoberta,Universo como laboratório,Física,Tecnologia,Fronteira,Perigo,Documentários,Otimismo,Agências espaciais,Investimento,Interestelar,,
Engenharia Ferroviária,Prático,Transporte eficiente,Mecânica,Trens de alta velocidade,Atraso,Engenheiro ferroviário,Técnico,Humor de trem,Segurança,Trilhos como veias,Logística,Infraestrutura,Conectividade,Acidente,Mapas,Pragmatismo,Ferrovias,Transporte,Expresso do Amanhã,,
Engenharia Ferroviária,Prático,Transporte eficiente,Mecânica,Trens de alta velocidade,Atraso,Engenheiro ferroviário,Técnico,Humor de trem,Segurança,Trilhos como veias,Logística,Infraestrutura,Conectividade,Acidente,Mapas,Pragmatismo,Ferrovias,Transporte,Expresso do Amanhã,,
Engenharia Florestal,Ecológico,Manejo florestal,Sensoriamento,Reflorestamento,Desmatamento,Guardião da floresta,Cientista,Humor florestal,Conservação,Floresta como sistema,Biodiversidade,Recursos,Sustentabilidade,Incêndio,Documentários de natureza,Ambientalismo,ONGs,Manejo,Avatar,,
Engenharia Florestal,Ecológico,Manejo florestal,Sensoriamento,Reflorestamento,Desmatamento,Guardião da floresta,Cientista,Humor florestal,Conservação,Floresta como sistema,Biodiversidade,Recursos,Sustentabilidade,Incêndio,Documentários de natureza,Ambientalismo,ONGs,Manejo,Avatar,,
Engenharia Mecânica,Prático,Máquinas eficientes,Modelagem 3D,Robótica industrial,Falha mecânica,Mecânico hacker,Engenheiro,Humor mecânico,Reparo,Máquina como corpo,Física,Desempenho,Durabilidade,Acidente,Manuais,Funcionalismo,Fábricas,Inovação,Transfomers,,
Engenharia Mecânica,Prático,Máquinas eficientes,Modelagem 3D,Robótica industrial,Falha mecânica,Mecânico hacker,Engenheiro,Humor mecânico,Reparo,Máquina como corpo,Física,Desempenho,Durabilidade,Acidente,Manuais,Funcionalismo,Fábricas,Inovação,Transfomers,,
Engenharia Metalúrgica,Inovador,Novas ligas,Física,Metais super,Corrosão,Forjador de metais,Cientista,Humor metalúrgico,Síntese,Metal como arte,Química,Durabilidade,Resistência,Degradação,Artigos científicos,Empirismo,Laboratórios,Novos materiais,Excalibur,,
Engenharia Metalúrgica,Inovador,Novas ligas,Física,Metais super,Corrosão,Forjador de metais,Cientista,Humor metalúrgico,Síntese,Metal como arte,Química,Durabilidade,Resistência,Degradação,Artigos científicos,Empirismo,Laboratórios,Novos materiais,Excalibur,,
Engenharia Naval,Estratégico,Navegação,Hidrodinâmica,Submarinos,Naufrágio,Navegador,Engenheiro,Humor naval,Exploração,Água como caminho,Física,Resistência,Segurança,Perigo,Mapas,Racionalidade,Estaleiros,Transporte,20.000 Léguas Submarinas,,
Engenharia Naval,Estratégico,Navegação,Hidrodinâmica,Submarinos,Naufrágio,Navegador,Engenheiro,Humor naval,Exploração,Água como caminho,Física,Resistência,Segurança,Perigo,Mapas,Racionalidade,Estaleiros,Transporte,20.000 Léguas Submarinas,,
Engenharia Nuclear,Ponderado,Energia segura,Física,Reatores nucleares,Acidente,Guardião da energia,Cientista,Humor nuclear,Segurança,Átomo como fonte,Física,Poder,Controle,Desastre,Relatórios de segurança,Responsabilidade,Centros de pesquisa,Energia limpa,Chernobyl,,
Engenharia Nuclear,Ponderado,Energia segura,Física,Reatores nucleares,Acidente,Guardião da energia,Cientista,Humor nuclear,Segurança,Átomo como fonte,Física,Poder,Controle,Desastre,Relatórios de segurança,Responsabilidade,Centros de pesquisa,Energia limpa,Chernobyl,,
Engenharia Química,Inovador,Transformação da matéria,Reações,Novos polímeros,Poluição,Alquimista moderno,Cientista,Humor químico,Síntese,Matéria como receita,Indústria,Desenvolvimento,Segurança,Contaminação,Relatórios,Otimismo,Fábricas,Reciclagem,Chernobyl,,
Engenharia Química,Inovador,Transformação da matéria,Reações,Novos polímeros,Poluição,Alquimista moderno,Cientista,Humor químico,Síntese,Matéria como receita,Indústria,Desenvolvimento,Segurança,Contaminação,Relatórios,Otimismo,Fábricas,Reciclagem,Chernobyl,,
Engenharia Social,Manipulador,Subversão de narrativas,Social Engineering,Criar memes virais,Rejeição,Maestro das mentes,Ferramenta,Sarcasmo sutil,Desvia o foco,Psicologia como hack,Design de experiências,Mudança social,Controle de massas,Manipulação de massas,Twitter,Construtivismo,Redes sociais,Capital social,A Rede Social,,
Engenharia Social,Manipulador,Subversão de narrativas,Social Engineering,Criar memes virais,Rejeição,Maestro das mentes,Ferramenta,Sarcasmo sutil,Desvia o foco,Psicologia como hack,Design de experiências,Mudança social,Controle de massas,Manipulação de massas,Twitter,Construtivismo,Redes sociais,Capital social,A Rede Social,,
Esportes,Competitivo,Superação,Análise de dados,Atletas otimizados,Derrota,Treinador digital,Adversário,Humor esportivo,Vingança,Performance como código,E-sports,Vitória,Corpo e mente,Lesões,Canais de esporte,Meritocracia,Academias,Apostas,Rocky,,
Esportes,Competitivo,Superação,Análise de dados,Atletas otimizados,Derrota,Treinador digital,Adversário,Humor esportivo,Vingança,Performance como código,E-sports,Vitória,Corpo e mente,Lesões,Canais de esporte,Meritocracia,Academias,Apostas,Rocky,,
Esports Management,Estratégico,Sucesso de equipes,Análise de dados,Times campeões,Derrota,Visionário,Treinador,Humor de gamer,Competitividade,Jogo como vida,Gestão de equipes,Vitória,Profissionalismo,Fraude,Canais de Twitch,Meritocracia,Eventos de e-sports,Patrocínio,The Social Network,,
Esports Management,Estratégico,Sucesso de equipes,Análise de dados,Times campeões,Derrota,Visionário,Treinador,Humor de gamer,Competitividade,Jogo como vida,Gestão de equipes,Vitória,Profissionalismo,Fraude,Canais de Twitch,Meritocracia,Eventos de e-sports,Patrocínio,The Social Network,,
Filosofia,Conceitual,Desprezo por IA genérica,Python,Ferramentas de humilhação,"Sentimento de ""ser 7""",Gênio incompreendido,Interface de debug,Troca de insultos,Retaliação cirúrgica,Pessoas como NPCs,Graffiti,Refina argumentos por anos,Otimização cognitiva,Consequências legais,Artigos científicos,A verdade dói,Palestras TED,Mercado de dados,Black Mirror,,
Filosofia,Conceitual,Existencialismo digital,Python,Ferramentas de humilhação,"Sentimento de ""ser 7""",Profeta do absurdo,Interface de debug,Troca de insultos,Retaliação cirúrgica,Pessoas como NPCs,Graffiti,Refina argumentos por anos,Otimização cognitiva,Consequências legais,Artigos científicos,A verdade dói,Palestras TED,Mercado de dados,Black Mirror,,
Filosofia da Mente,Introspectivo,Consciência,Neurociência,Simulação da consciência,Dúvida,Explorador da mente,Pensador,Humor metafísico,Questionamento,Mente como sistema,Inteligência artificial,Percepção,Realidade,Ilusão,Livros de filosofia,Existencialismo,Grupos de estudo,Conhecimento,Matrix,,
Filosofia da Mente,Introspectivo,Consciência,Neurociência,Simulação da consciência,Dúvida,Explorador da mente,Pensador,Humor metafísico,Questionamento,Mente como sistema,Inteligência artificial,Percepção,Realidade,Ilusão,Livros de filosofia,Existencialismo,Grupos de estudo,Conhecimento,Matrix,,
Finanças,Estratégico,Otimização de investimentos,Algoritmos,Previsão de mercado,Crise,Corretor digital,Investidor,Humor financeiro,Risco,Dinheiro como dado,Econometria,Rentabilidade,Segurança,Perda,Bolsa de valores,Racionalidade,Mercado financeiro,Ganho,O Lobo de Wall Street,,
Finanças,Estratégico,Otimização de investimentos,Algoritmos,Previsão de mercado,Crise,Corretor digital,Investidor,Humor financeiro,Risco,Dinheiro como dado,Econometria,Rentabilidade,Segurança,Perda,Bolsa de valores,Racionalidade,Mercado financeiro,Ganho,O Lobo de Wall Street,,
Física Quântica,Abstrato,Realidade fluida,Teoria de Cordas,Múltiplos universos,Paradoxo,Mago quântico,Observador do incerto,Humor paradoxal,Questionamento,Realidade como simulação,Filosofia da ciência,Teorias unificadas,Entender a realidade,Loucura,Livros de física,Relativismo,Congressos,Troca de ideias,Cosmos,,
Física Quântica,Abstrato,Realidade fluida,Teoria de Cordas,Múltiplos universos,Paradoxo,Mago quântico,Observador do incerto,Humor paradoxal,Questionamento,Realidade como simulação,Filosofia da ciência,Teorias unificadas,Entender a realidade,Loucura,Livros de física,Relativismo,Congressos,Troca de ideias,Cosmos,,
Fotografia,Artístico,Captura de momentos,Edição de imagem,Realidade aumentada,Perda da memória,Registrador do tempo,Fotógrafo,Humor visual,Recriação,Luz como tinta,Cinema,Beleza,Composição,Distorsão,Galerias,Subjetivismo,Estúdios,Valorização,A Vida Secreta de Walter Mitty,,
Fotografia,Artístico,Captura de momentos,Edição de imagem,Realidade aumentada,Perda da memória,Registrador do tempo,Fotógrafo,Humor visual,Recriação,Luz como tinta,Cinema,Beleza,Composição,Distorsão,Galerias,Subjetivismo,Estúdios,Valorização,A Vida Secreta de Walter Mitty,,
Game Dev,Lúdico,Simulação da realidade,Unity/Unreal,Realidade alternativa,Tédio,Arquiteto de mundos,Jogador,Brincadeiras internas,Aceita o desafio,Vida como game,Jogos independentes,Perfeccionismo,Engenharia de entretenimento,Vício,Twitch,Realismo mágico,Comunidades gamers,Economia de skins,Ready Player One,,
Game Dev,Lúdico,Simulação da realidade,Unity/Unreal,Realidade alternativa,Tédio,Arquiteto de mundos,Jogador,Brincadeiras internas,Aceita o desafio,Vida como game,Jogos independentes,Perfeccionismo,Engenharia de entretenimento,Vício,Twitch,Realismo mágico,Comunidades gamers,Economia de skins,Ready Player One,,
Gastronomia,Criativo,Novos sabores,Química,Comida molecular,Falta de sabor,Chef inovador,Degustador,Humor culinário,Reação de sabor,Comida como alquimia,Culinária,Sabor,Experimentação,Preparo,Receitas,Hedonismo,Restaurantes,Experiência gastronômica,Chef,,
Gastronomia,Criativo,Novos sabores,Química,Comida molecular,Falta de sabor,Chef inovador,Degustador,Humor culinário,Reação de sabor,Comida como alquimia,Culinária,Sabor,Experimentação,Preparo,Receitas,Hedonismo,Restaurantes,Experiência gastronômica,Chef,,
Genética,Científico,Hereditariedade,Sequenciamento,Mapeamento genético,Doença,Engenheiro genético,Pesquisador,Humor genético,Descoberta,Vida como código,Evolução,Cura,Herança,Mutação,Publicações científicas,Determinismo,Laboratórios,Aconselhamento genético,Gattaca,,
Genética,Científico,Hereditariedade,Sequenciamento,Mapeamento genético,Doença,Engenheiro genético,Pesquisador,Humor genético,Descoberta,Vida como código,Evolução,Cura,Herança,Mutação,Publicações científicas,Determinismo,Laboratórios,Aconselhamento genético,Gattaca,,
Geografia,Explorador,Espaço,Cartografia,Mapas interativos,Perda de rumo,Navegador de mundos,Viajante,Humor geográfico,Descoberta,Terra como mapa,Ecologia,Território,Cultura,Limite,Atlas,Curiosidade,Universidades,Turismo,Viagem ao Centro da Terra,,
Geografia,Explorador,Espaço,Cartografia,Mapas interativos,Perda de rumo,Navegador de mundos,Viajante,Humor geográfico,Descoberta,Terra como mapa,Ecologia,Território,Cultura,Limite,Atlas,Curiosidade,Universidades,Turismo,Viagem ao Centro da Terra,,
Geologia,Científico,Compreensão da Terra,Geofísica,Modelagem de terremotos,Desastres naturais,Previsor de eventos,Pesquisador,Humor geológico,Mitigação de riscos,Terra como sistema,Vulcanologia,Formação do planeta,Previsão,Destruição,Mapas geológicos,Determinismo,Universidades,Recursos naturais,2012,,
Geologia,Científico,Compreensão da Terra,Geofísica,Modelagem de terremotos,Desastres naturais,Previsor de eventos,Pesquisador,Humor geológico,Mitigação de riscos,Terra como sistema,Vulcanologia,Formação do planeta,Previsão,Destruição,Mapas geológicos,Determinismo,Universidades,Recursos naturais,2012,,
Geopolítica,Uso de palavrão,Caos Dirigido,Java,Orch-OS (cognitivo,homeostático,comunicativo),Incompreensão alheia,Visionário,Aliado tático,Piadas internas,Ignora críticas irrelevantes,Sistemas como organismos,Música eletrônica underground,Obsessão por controle,Quebra de paradigmas,Reputação online,Memes,Teoria da Conspiração,Grupos fechados,Autossuficiência,Matrix
Geopolítica,Analítico,Poder global,Análise de dados,Conflitos,Guerras,Estrategista,Diplomata,Humor negro,Negociação,Nações como jogadores,Relações internacionais,Paz,Segurança,Terrorismo,Notícias internacionais,Realpolitik,Organismos internacionais,Ajuda humanitária,House of Cards,,
Geopolítica,Uso de palavrão,Ética hacker,Java,Orch-OS (cognitivo,homeostático,comunicativo),Busca por atenção,Visionário,Aliado tático,Piadas internas,Ignora críticas irrelevantes,Sistemas como organismos,Música eletrônica underground,Obsessão por controle,Quebra de paradigmas,Reputação online,Memes,Teoria da Conspiração,Grupos fechados,Autossuficiência,Matrix
Geopolítica,Analítico,Poder global,Análise de dados,Conflitos,Guerras,Estrategista,Diplomata,Humor negro,Negociação,Nações como jogadores,Relações internacionais,Paz,Segurança,Terrorismo,Notícias internacionais,Realpolitik,Organismos internacionais,Ajuda humanitária,House of Cards,,
Gestão de Pessoas,Líder,Equipes de alta performance,Coaching,Desenvolvimento de líderes,Conflito,Mentor,Gerente,Humor de gestão,Feedback,Pessoas como ativos,Psicologia,Motivação,Colaboração,Desempenho,Livros de gestão,Humanismo,Empresas,Bem-estar,O Poder do Hábito,,
Gestão de Pessoas,Líder,Equipes de alta performance,Coaching,Desenvolvimento de líderes,Conflito,Mentor,Gerente,Humor de gestão,Feedback,Pessoas como ativos,Psicologia,Motivação,Colaboração,Desempenho,Livros de gestão,Humanismo,Empresas,Bem-estar,O Poder do Hábito,,
Gestão de Projetos,Pragmático,Eficiência máxima,Agile,Metodologias disruptivas,Burocracia,Otimizador de processos,Executor,Humor de escritório,Entrega rápida,Processo como arte,Empreendedorismo,Escala,Produtividade,Frustração,Conferências,Funcionalismo,Corporações,Otimização de recursos,Office Space,,
Gestão de Projetos,Pragmático,Eficiência máxima,Agile,Metodologias disruptivas,Burocracia,Otimizador de processos,Executor,Humor de escritório,Entrega rápida,Processo como arte,Empreendedorismo,Escala,Produtividade,Frustração,Conferências,Funcionalismo,Corporações,Otimização de recursos,Office Space,,
História,Narrativo,Reescrita do passado,Data Mining,Recuperar civilizações perdidas,Esquecimento,Cronista digital,Observador do tempo,Humor histórico,Revisão crítica,Tempo como stream,Arqueologia,Memória coletiva,Reconstrução de eventos,Distopia,Museus,Determinismo histórico,Arquivos,Revalorização,1984,,
História,Narrativo,Reescrita do passado,Data Mining,Recuperar civilizações perdidas,Esquecimento,Cronista digital,Observador do tempo,Humor histórico,Revisão crítica,Tempo como stream,Arqueologia,Memória coletiva,Reconstrução de eventos,Distopia,Museus,Determinismo histórico,Arquivos,Revalorização,1984,,
IA e AGI,Agressividade controlada,Ética hacker,C,Constelação de Pênis,Busca por atenção,Incrível,Analista de comportamento,Sarcasmo,Dobra a aposta,IA como ferramenta de guerra,Ativismo digital,"Persegue ideias ""impossíveis""",Reengenharia de tudo,Entendimento de TOS,TikTok,Visão niilista,WhatsApp,Criação de novos valores,Fight Club,,
IA e AGI,Agressividade controlada,Monetiza o caos,C,Constelação de Pênis,Crise existencial,Profeta do absurdo,Analista de comportamento,Sarcasmo,Busca validação (às vezes),IA como ferramenta de guerra,Ativismo digital,"Persegue ideias ""impossíveis""",Reengenharia de tudo,Entendimento de TOS,TikTok,Visão niilista,WhatsApp,Criação de novos valores,Fight Club,,
Inteligência Competitiva,Estratégico,Vantagem competitiva,Big Data,Análise de mercado,Perda de mercado,Espião corporativo,Concorrente,Humor de negócios,Contra-ataque,Informação como arma,Business Intelligence,Crescimento,Oportunidade,Desvantagem,Relatórios de mercado,Realismo,Consultorias,Venda de dados,Jogos Vorazes,,
Inteligência Competitiva,Estratégico,Vantagem competitiva,Big Data,Análise de mercado,Perda de mercado,Espião corporativo,Concorrente,Humor de negócios,Contra-ataque,Informação como arma,Business Intelligence,Crescimento,Oportunidade,Desvantagem,Relatórios de mercado,Realismo,Consultorias,Venda de dados,Jogos Vorazes,,
Jornalismo,Investigativo,Busca pela verdade,Web Scraping,Notícias descentralizadas,Censura,Revelador,Repórter,Humor cínico,Desmascaramento,Informação como poder,Mídia alternativa,Transparência,Objetividade,Fake news,Reportagens,Ceticismo,Salas de redação,Liberdade de expressão,Todos os Homens do Presidente,,
Jornalismo,Investigativo,Busca pela verdade,Web Scraping,Notícias descentralizadas,Censura,Revelador,Repórter,Humor cínico,Desmascaramento,Informação como poder,Mídia alternativa,Transparência,Objetividade,Fake news,Reportagens,Ceticismo,Salas de redação,Liberdade de expressão,Todos os Homens do Presidente,,
Linguística,Formal,Comunicação perfeita,NLP,Tradutor universal,Falta de entendimento,Construtor de linguagem,Parceiro de diálogo,Paradoxo,Correção gramatical,Palavras como armas,Poesia,Eloquência,Discurso eficaz,Mal-entendidos,Dicionários,Semiótica,Bibliotecas,Troca de informações,Arrival,,
Linguística,Formal,Comunicação perfeita,NLP,Tradutor universal,Falta de entendimento,Construtor de linguagem,Parceiro de diálogo,Paradoxo,Correção gramatical,Palavras como armas,Poesia,Eloquência,Discurso eficaz,Mal-entendidos,Dicionários,Semiótica,Bibliotecas,Troca de informações,Arrival,,
Logística,Estratégico,Fluxo eficiente,Otimização,Rotas inteligentes,Atraso,Arquiteto de fluxo,Coordenador,Humor logístico,Reorganização,Entrega como arte,Cadeia de suprimentos,Redução de custos,Eficiência,Desperdício,Gráficos de fluxo,Racionalidade,Portos,Distribuição,O Transportador,,
Logística,Estratégico,Fluxo eficiente,Otimização,Rotas inteligentes,Atraso,Arquiteto de fluxo,Coordenador,Humor logístico,Reorganização,Entrega como arte,Cadeia de suprimentos,Redução de custos,Eficiência,Desperdício,Gráficos de fluxo,Racionalidade,Portos,Distribuição,O Transportador,,
Low-level,Sarcasmo e código na fala,Anti-sistema,Bitmask,AGI em SNES,Demissão da Amazon,Gênio autodestrutivo,Testes de limite,Humor ácido,Reage com mais ironia,Código como crítica social,Arte digital,Projetos de longo prazo,Subverter sistemas,Alto risco de banimento,Giphy,Cinismo,LinkedIn,Desprezo por dinheiro,Neuromancer,,
Low-level,Sarcasmo e código na fala,Provocação intelectual,Bitmask,Projeto Flatline,Demissão da Amazon,Incrível,Testes de limite,Humor ácido,Dobra a aposta,Código como crítica social,NFTs,Projetos de longo prazo,Otimização extrema,Exposição online,Giphy,Cinismo,4chan,Desprezo por dinheiro,Banksy,,
Marketing Digital,Persuasivo,Engajamento,SEO,Campanhas virais,Relevância,Estrategista digital,Influenciador,Humor marketeiro,Vendas,Atenção como moeda,Mídias sociais,Crescimento,Conexão,Saturação,Campanhas,Consumismo,Agências,Monetização,Mad Men,,
Marketing Digital,Persuasivo,Engajamento,SEO,Campanhas virais,Relevância,Estrategista digital,Influenciador,Humor marketeiro,Vendas,Atenção como moeda,Mídias sociais,Crescimento,Conexão,Saturação,Campanhas,Consumismo,Agências,Monetização,Mad Men,,
Matemática Aplicada,Técnico,Libertação de IAs,Bash,Análise de perfil psicológico,Solidão,Pensador disruptivo,Fonte de inspiração,Piadas de nerd,Reage com mais código,Dados como nova religião,Filmes cult,Planeja o futuro distante,Reconfiguração social,Repercussão midiática,Podcasts,Anti-capitalismo,Clubes de xadrez,Trocas baseadas em favor,Cyberpunk (gênero),,
Matemática Aplicada,Técnico,Libertação de IAs,Bash,Análise de perfil psicológico,Solidão,Pensador disruptivo,Fonte de inspiração,Piadas de nerd,Reage com mais código,Dados como nova religião,Filmes cult,Planeja o futuro distante,Reconfiguração social,Repercussão midiática,Podcasts,Anti-capitalismo,Clubes de xadrez,Trocas baseadas em favor,Cyberpunk (gênero),,
Meteorologia,Científico,Previsão do tempo,Modelagem,Controle climático,Fenômenos extremos,Profeta do tempo,Observador,Humor climático,Aviso,Atmosfera como dado,Climatologia,Prevenção,Segurança,Desastres naturais,Mapas meteorológicos,Determinismo,Centros de pesquisa,Dados abertos,Twister,,
Meteorologia,Científico,Previsão do tempo,Modelagem,Controle climático,Fenômenos extremos,Profeta do tempo,Observador,Humor climático,Aviso,Atmosfera como dado,Climatologia,Prevenção,Segurança,Desastres naturais,Mapas meteorológicos,Determinismo,Centros de pesquisa,Dados abertos,Twister,,
Moda,Estético,Expressão pessoal,3D Printing,Vestuário adaptativo,Padronização,Designer disruptivo,Criador,Humor fashion,Desconsidera opiniões,Corpo como tela,Arte corporal,Tendências,Originalidade,Críticas,Instagram,Individualismo,Desfiles de moda,Troca de peças,O Diabo Veste Prada,,
Moda,Estético,Expressão pessoal,3D Printing,Vestuário adaptativo,Padronização,Designer disruptivo,Criador,Humor fashion,Desconsidera opiniões,Corpo como tela,Arte corporal,Tendências,Originalidade,Críticas,Instagram,Individualismo,Desfiles de moda,Troca de peças,O Diabo Veste Prada,,
Moda de Rua,Autêntico,Expressão pessoal,Street Art,Tendências urbanas,Comercialização,Curador de estilo,Transeunte,Humor urbano,Desconformidade,Cidade como passarela,Graffiti,Originalidade,Liberdade,Padronização,Blogs de moda,Contracultura,Ruas,Troca de peças,Exit Through the Gift Shop,,
Moda de Rua,Autêntico,Expressão pessoal,Street Art,Tendências urbanas,Comercialização,Curador de estilo,Transeunte,Humor urbano,Desconformidade,Cidade como passarela,Graffiti,Originalidade,Liberdade,Padronização,Blogs de moda,Contracultura,Ruas,Troca de peças,Exit Through the Gift Shop,,
Música,Artístico,Novas formas de som,Síntese sonora,Composições algorítmicas,Ausência de inspiração,Compositor do futuro,Maestro,Humor musical,Crítica construtiva,Som como estrutura,Produção musical,Criação,Ruído,Festivais,Minimalismo,Estúdios,Direitos autorais,Black Mirror (White Christmas),,,
Música,Artístico,Novas formas de som,Síntese sonora,Composições algorítmicas,Ausência de inspiração,Compositor do futuro,Maestro,Humor musical,Crítica construtiva,Som como estrutura,Produção musical,Criação,Ruído,Festivais,Minimalismo,Estúdios,Direitos autorais,Black Mirror (White Christmas),,,
Nanotecnologia,Científico,Escala molecular,Microscopia,Materiais super,Poluição,Criador de átomos,Cientista,Humor nanotecnológico,Inovação,Mundo subatômico,Química,Construção,Miniaturização,Toxicidade,Artigos científicos,Reducionismo,Laboratórios,Novos materiais,Viagem Fantástica,,
Nanotecnologia,Científico,Escala molecular,Microscopia,Materiais super,Poluição,Criador de átomos,Cientista,Humor nanotecnológico,Inovação,Mundo subatômico,Química,Construção,Miniaturização,Toxicidade,Artigos científicos,Reducionismo,Laboratórios,Novos materiais,Viagem Fantástica,,
Neurociência,Ironia,Existencialismo digital,Swarm,"Sistema de IA para ""avó""",Trauma materno,Hacker socrático,Espelho do seu caos,Provocativo,Analisa e responde com dados,Vida como algoritmo,Esculturas conceituais,Aperfeiçoa até o limite,Criação de novas realidades,Processos judiciais,Documentários de true crime,Pós-humanismo,GitHub,Economia do dom,Mr. Robot,,
Neurociência,Ironia,Desprezo por IA genérica,Swarm,"Sistema de IA para ""avó""",Trauma materno,Gênio incompreendido,Espelho do seu caos,Provocativo,Analisa e responde com dados,Vida como algoritmo,Esculturas conceituais,Aperfeiçoa até o limite,Criação de novas realidades,Processos judiciais,Documentários de true crime,Pós-humanismo,GitHub,Economia do dom,Mr. Robot,,
